"name","parameter_quadra","initial_gradient_quadra","estimate_quadra","parameter_rtmb","initial_gradient_rtmb","estimate_rtmb","gradient_difference","estimate_difference"
"logFY_35","parameter",37.9349893035016,-0.658550064853769,"parameter",37.9349893035017,-0.658553644663289,2.1316282072803e-14,3.57980951937176e-06
"logFY_36","parameter",33.9196534728689,-0.450964366804642,"parameter",33.919653472869,-0.450970820661804,2.1316282072803e-14,6.45385716119273e-06
"logFY_37","parameter",32.2468819239166,-0.366086931277916,"parameter",32.2468819239166,-0.366093799146349,2.1316282072803e-14,6.86786843345777e-06
"logFY_38","parameter",33.6268065302825,-0.476859374410792,"parameter",33.6268065302825,-0.476864929835116,0,5.55542432473244e-06
"logFY_39","parameter",37.7352963912384,-0.821182500946543,"parameter",37.7352963912385,-0.821187267137862,7.105427357601e-15,4.76619131839495e-06
"logFY_40","parameter",35.3951661094148,-0.618650593552917,"parameter",35.3951661094149,-0.618660256312809,1.4210854715202e-14,9.66275989233711e-06
"logFY_41","parameter",34.9682817783669,-0.968762219540134,"parameter",34.9682817783669,-0.968767037662911,0,4.81812277730587e-06
"logFY_42","parameter",26.2868447860688,-0.787193760434748,"parameter",26.2868447860688,-0.787203203771417,3.5527136788005e-15,9.44333666907937e-06
"logFY_43","parameter",16.1912131915338,-0.981219056327056,"parameter",16.1912131915338,-0.981230888595738,7.105427357601e-15,1.18322686816219e-05
"logFY_44","parameter",0.925894866576807,-1.22043424411633,"parameter",0.92589486657681,-1.22044832975763,3.33066907387547e-15,1.40856413020085e-05
"logFY_45","parameter",-26.4832093395761,-1.38355801897594,"parameter",-26.4832093395761,-1.38357922414492,3.5527136788005e-15,2.12051689729709e-05
"logFA_1","parameter",475.354436742831,-0.35385417737051,"parameter",475.35443674283,-0.353849238513069,1.13686837721616e-13,4.93885744123901e-06
"logFA_2","parameter",447.990123494752,0.651433502272,"parameter",447.990123494752,0.651439047588613,5.6843418860808e-14,5.54531661323132e-06
"logFA_3","parameter",421.325221779374,0.614982494805224,"parameter",421.325221779373,0.614986639632826,1.13686837721616e-13,4.14482760191515e-06
"logFA_4","parameter",376.967275604995,0.390233417706503,"parameter",376.967275604995,0.390237994313957,0,4.57660745462052e-06
