"name","parameter_quadra","initial_gradient_quadra","estimate_quadra","parameter_rtmb","initial_gradient_rtmb","estimate_rtmb","gradient_difference","estimate_difference"
"logFY_2","parameter",167.712946078849,-1.6658871615808,"parameter",167.712946078849,-1.66589078686126,2.8421709430404e-14,3.62528045649846e-06
"logFY_3","parameter",124.355728742889,-1.36068533386938,"parameter",124.355728742889,-1.36068106862415,1.4210854715202e-14,4.26524522900706e-06
"logFY_4","parameter",89.1936079000133,-1.23829043787814,"parameter",89.1936079000133,-1.23829308505932,1.4210854715202e-14,2.64718118159202e-06
"logFY_5","parameter",62.2781522461381,-1.1961784879091,"parameter",62.2781522461381,-1.19618059886693,1.4210854715202e-14,2.11095783164694e-06
"logFY_6","parameter",43.8508482807181,-1.11953031699202,"parameter",43.8508482807181,-1.1195269785674,7.105427357601e-15,3.33842461586187e-06
"logFY_7","parameter",40.5736333008263,-1.43114904498792,"parameter",40.5736333008263,-1.43114938705933,0,3.42071406977951e-07
"logFY_8","parameter",46.4213820907016,-1.24561887308437,"parameter",46.4213820907016,-1.24561766892092,0,1.20416344717711e-06
"logFY_9","parameter",43.939646248844,-0.961595218481239,"parameter",43.939646248844,-0.961598278868284,0,3.06038704556144e-06
"logFY_10","parameter",42.0867518917571,-0.872801407690984,"parameter",42.0867518917571,-0.87279914065388,7.105427357601e-15,2.26703710415332e-06
"logFY_11","parameter",41.2488215710486,-0.880580569908373,"parameter",41.2488215710486,-0.880581778917258,7.105427357601e-15,1.20900888411768e-06
"logFY_12","parameter",39.8512705748849,-0.82535726702615,"parameter",39.8512705748849,-0.825357560875673,7.105427357601e-15,2.93849522381429e-07
"logFY_13","parameter",39.2725025362244,-0.798515920376392,"parameter",39.2725025362244,-0.798516629088103,7.105427357601e-15,7.08711710983856e-07
"logFY_14","parameter",37.5677465578366,-0.682561963602153,"parameter",37.5677465578366,-0.682561992945507,7.105427357601e-15,2.93433541909138e-08
"logFY_15","parameter",37.7319203988498,-0.673816663743481,"parameter",37.7319203988498,-0.673815128758441,7.105427357601e-15,1.53498503963068e-06
"logFY_16","parameter",37.5041835535612,-0.632283815836554,"parameter",37.5041835535612,-0.632284590245541,7.105427357601e-15,7.74408986714548e-07
"logFY_17","parameter",34.9423795013445,-0.729888800010959,"parameter",34.9423795013445,-0.729888436092054,0,3.63918904566773e-07
"logFY_18","parameter",28.331026235308,-0.532793706108637,"parameter",28.331026235308,-0.53279425371329,0,5.47604653067246e-07
"logFY_19","parameter",20.8263012484317,-0.571818644089437,"parameter",20.8263012484317,-0.571817137813245,1.4210854715202e-14,1.50627619199817e-06
"logFY_20","parameter",8.85537259492168,-0.382524679215733,"parameter",8.85537259492166,-0.382526213077107,2.30926389122033e-14,1.53386137446976e-06
"logFY_21","parameter",22.0430266409544,-0.612150191525959,"parameter",22.0430266409544,-0.612150317472166,1.06581410364015e-14,1.25946207019112e-07
"logFY_22","parameter",31.7169666639011,-0.594948231955775,"parameter",31.7169666639011,-0.594948490288776,1.06581410364015e-14,2.58333000990874e-07
"logFY_23","parameter",38.9114418549065,-0.692514155899482,"parameter",38.9114418549065,-0.692513925351204,0,2.30548277690978e-07
"logFY_24","parameter",39.54090386787,-0.552645365118639,"parameter",39.54090386787,-0.55264534842328,7.105427357601e-15,1.66953584290752e-08
"logFY_25","parameter",40.5714316032685,-0.602920029345472,"parameter",40.5714316032685,-0.602919935720593,1.4210854715202e-14,9.36248786276295e-08
"logFY_26","parameter",41.2048386684878,-0.723766386829728,"parameter",41.2048386684878,-0.723768877743301,1.4210854715202e-14,2.49091357318321e-06
"logFY_27","parameter",38.1355646553915,-0.515086322665229,"parameter",38.1355646553915,-0.515086405722365,7.105427357601e-15,8.30571366128297e-08
"logFY_28","parameter",39.2113249176221,-0.648631516140587,"parameter",39.2113249176221,-0.648631655140269,7.105427357601e-15,1.38999681875696e-07
"logFY_29","parameter",38.5370912992702,-0.530521524043458,"parameter",38.5370912992702,-0.530521370135577,2.8421709430404e-14,1.53907880773296e-07
"logFY_30","parameter",40.8180331875976,-0.754331846632186,"parameter",40.8180331875976,-0.754332695242534,2.1316282072803e-14,8.48610348325174e-07
"logFY_31","parameter",39.649101976314,-0.646701254452369,"parameter",39.649101976314,-0.646701641970601,1.4210854715202e-14,3.87518232392026e-07
